,Cluster,Subtype,RNA_Cluster
ICC26,P1,ICC,R3
ICC28,P1,ICC,
GB4,P1,GBC,
TGBC14TKB,P1,GBC,
G415,P1,GBC,R1
SNU475,P1,HCC,R1
SNU387,P1,HCC,R1
CCLP1,P1,ICC,R1
RBE,P1,ICC,R3
SNU1079,P1,ICC,R3
HUH28,P1,ICC,R1
SSP25,P1,ICC,R1
HLF,P1,HCC,R1
SNU423,P1,HCC,R1
NOZ,P1,GBC,R1
ECC4,P1,ECC,R1
SNU449,P1,HCC,R1
JHH6,P1,HCC,R1
ICC25,P1,ICC,R3
ICC24,P1,ICC,R3
KMCH1,P2,ICC,R4
SG231,P2,ICC,R2
TGBC1TKB,P2,GBC,R4
PLCPRF5,P2,HCC,R2
JHH7,P2,HCC,R2
ICC18,P2,ICC,R3
HUH6,P2,HCC,R2
HEPG2,P2,HCC,R2
JHH5,P2,HCC,R2
HEP3B217,P2,HCC,R2
HUH1,P2,HCC,R2
HUH7,P2,HCC,R2
KKU055,P2,ICC,R1
TONG,P2,HCC,
TFK1,P3,ECC,R4
SNU245,P3,ECC,R4
ICC20,P3,ICC,R3
ICC21,P3,ICC,R3
JHH4,P3,HCC,R1
SKHEP1,P3,HCC,R1
TGBC52TKB,P3,AC,R1
ICC19,P3,ICC,R3
ICC13-7,P3,ICC,R3
ICC16,P3,ICC,R3
KKU100,P3,ECC,R1
YSCCC,P3,ICC,R4
ICC4,P3,ICC,R3
TKKK,P3,ICC,R4
EGI1,P3,ECC,R4
OZ,P3,ICC,R4
OCUG1,P3,GBC,R1
ETK1,P4,ICC,
ICC5,P4,ICC,R3
ICC7,P4,ICC,R3
ICC10-8,P4,ICC,R3
ICC10,P4,ICC,R3
ICC11,P4,ICC,R3
ICC8,P4,ICC,R4
GB3,P4,GBC,R3
ICC17,P4,ICC,R3
GB2,P4,GBC,R4
ICC10-6,P4,ICC,R3
ICC9,P5,ICC,R4
CCSW1,P5,ICC,R4
HUCCT1,P5,ICC,R4
ECC3,P5,ECC,R4
ICC12,P5,ICC,R4
SNU478,P5,AC,R4
ICC2,P5,ICC,R4
AOVC1,P5,AC,R4
SNU869,P5,AC,R4
SNU308,P5,GBC,R4
HKGZCC,P5,ICC,R4
SNU1196,P5,ECC,R4
KKU213,P5,ICC,R4
