,P1,P2,P3,P4,P5
ARI score,,,,,
R1,0.34938022484865955,-0.08129615262056832,0.02563968597999791,-0.10300756046675022,-0.1035637315270936
R2,-0.09068811596764927,0.6766432018665303,-0.10028159440695247,-0.10373958905090327,-0.10527103248126711
R3,-0.01662143826322931,-0.07756346037166119,0.04163616019008413,0.2776154802880861,-0.09391487364723616
R4,-0.020907972835677236,-0.0549009841518691,0.012075623191212968,-0.043950562514142276,0.5027701525913291
Cluster Matching,,,,,
R1,paired,,paired,,
R2,,paired,,,
R3,,,paired,paired,
R4,,,paired,,paired
